date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
11-29,8.96,18.5,-0.04,4.1,24.62,8.6,29.48,11.3,23.9,24.98,31.28,21.56,19.4,30.38,28.22,2.3,12.74,-2.92,12.92,27.32,21.74,9.32,26.42,31.46,26.24,28.76,12.02,14.18,17.78,21.02,18.32,13.1,33.26,0.86,20.12,2.84,12.668,25.106,30.11,-2.92,18.95,33.26
11-30,12.2,15.44,-7.24,10.76,,24.62,30.56,5.0,24.26,30.2,36.14,21.02,15.98,28.04,28.76,5.72,11.84,4.28,13.1,26.42,24.62,8.06,22.1,33.62,27.68,5.9,12.74,15.26,18.32,17.78,10.76,21.02,28.04,15.44,17.42,5.756,12.524,24.62,29.912,-7.24,17.78,36.14
12-01,12.92,8.96,-0.94,6.26,17.6,27.32,31.46,14.54,20.66,29.48,28.94,12.92,17.42,27.68,27.32,10.94,18.5,9.5,12.2,28.76,3.38,18.86,7.52,31.82,28.04,15.98,11.84,15.62,23.0,15.8,14.36,16.7,34.34,23.72,17.06,7.952,12.92,24.08,29.318,-0.94,17.06,34.34
12-02,18.68,5.9,9.5,10.76,17.42,21.74,18.5,6.62,8.96,29.84,19.76,22.64,22.82,27.68,27.68,14.72,21.2,4.1,14.36,21.74,-0.4,27.5,12.56,32.36,26.78,21.02,15.62,14.36,26.96,7.7,23.0,9.68,37.76,9.14,17.42,6.944,12.38,22.658,27.68,-0.4,18.59,37.76
12-03,25.7,9.86,13.82,-4.0,,22.28,15.44,6.08,13.64,32.54,14.36,23.54,20.84,27.5,28.22,17.24,11.12,9.5,26.42,13.64,-0.76,20.48,6.44,21.56,-1.3,24.08,22.64,15.98,26.24,9.14,23.54,21.2,34.34,9.5,19.58,6.152,12.632,23.0,27.284,-4.0,17.24,34.34
12-04,26.6,19.4,18.5,-2.56,18.68,15.26,18.5,3.92,17.96,18.32,12.56,21.2,14.72,26.78,13.82,19.22,4.82,18.5,31.1,3.92,8.42,13.1,1.04,27.14,-12.46,32.0,27.86,20.66,13.28,8.42,23.72,26.6,33.26,20.84,29.84,3.92,13.262,20.876,27.644,-12.46,18.5,33.26
12-05,21.92,13.46,22.82,9.68,4.28,19.58,12.92,13.28,10.22,6.98,15.62,19.76,12.74,24.8,26.78,17.06,8.06,21.56,25.88,12.56,4.46,19.4,-1.84,32.36,-16.96,31.28,21.02,6.08,12.74,5.18,21.92,25.34,19.76,19.4,33.08,4.676,12.326,21.074,25.718,-16.96,16.34,32.36
12-06,18.86,11.12,24.62,3.38,7.52,19.22,10.4,10.94,20.48,3.38,18.68,24.08,17.6,22.64,31.28,16.16,-4.18,20.84,20.84,22.82,-13.36,23.54,10.58,25.16,-14.8,32.54,21.92,0.86,14.36,3.02,24.26,23.9,18.5,16.88,34.52,1.508,10.904,21.992,24.512,-14.8,18.59,32.54
12-07,12.56,13.46,21.2,13.82,14.18,3.74,13.82,14.36,25.7,6.44,12.38,22.64,16.34,16.34,27.14,21.2,-9.04,26.24,14.72,28.76,-14.44,25.52,15.98,17.24,-4.9,28.4,28.94,-10.12,28.76,14.0,28.58,26.06,24.62,13.82,25.7,-2.308,13.82,24.71,28.526,-14.44,16.16,28.94
12-08,21.56,17.24,14.0,19.4,22.46,0.32,0.32,27.5,25.34,10.22,7.34,24.44,17.06,19.94,15.44,23.36,5.72,26.6,8.06,13.28,-9.4,26.06,16.88,8.42,-8.5,31.28,32.9,-0.94,25.7,19.04,25.34,29.84,25.7,8.42,15.62,0.32,10.04,24.53,27.23,-9.4,18.14,32.9
12-09,14.54,28.22,15.8,15.08,21.56,1.22,10.76,30.2,15.62,2.12,15.26,22.28,20.84,22.46,11.84,22.82,14.36,25.88,7.34,8.24,-11.38,25.16,14.0,0.86,-6.16,31.1,30.92,20.12,24.26,13.1,15.8,29.84,13.82,13.64,10.76,1.49,13.586,22.298,29.354,-11.38,15.44,31.1
12-10,1.04,33.8,7.7,23.36,,1.76,28.4,28.22,3.92,15.08,15.62,9.14,12.38,21.56,15.8,32.54,17.42,25.34,8.06,20.12,-7.24,21.38,18.68,12.92,3.02,29.66,24.44,23.0,25.88,21.92,18.5,18.86,8.78,20.48,17.24,3.2,12.704,22.352,28.364,-7.24,18.68,33.8
12-11,-2.74,24.26,10.94,21.92,26.24,7.16,28.76,17.24,11.12,19.94,13.46,1.76,5.36,17.78,16.7,34.16,23.72,24.08,3.92,16.52,6.26,16.7,16.7,20.84,8.96,34.16,20.12,11.84,27.68,18.14,21.56,14.9,14.54,23.54,21.92,5.63,13.298,21.596,27.248,-2.74,16.97,34.16
12-12,7.7,5.36,13.46,9.86,18.5,14.36,29.3,18.5,21.38,24.08,21.92,3.2,7.16,23.72,18.5,20.84,21.92,24.44,12.02,16.88,12.38,28.22,16.7,23.72,17.06,36.14,17.96,12.92,30.56,17.06,23.9,8.06,22.46,19.76,17.24,7.808,14.27,21.974,27.086,3.2,18.5,36.14
12-13,11.48,14.0,9.68,2.3,8.24,12.74,22.46,15.98,24.62,28.76,17.42,11.66,14.18,27.68,24.08,19.76,16.52,27.68,9.86,-0.04,21.02,31.46,18.32,23.54,18.5,30.38,23.9,9.86,23.9,14.0,19.94,12.02,27.14,13.82,18.5,9.734,13.712,23.576,27.68,-0.04,17.87,31.46
12-14,17.06,7.16,9.86,13.82,19.4,5.9,19.94,7.88,29.3,30.2,8.06,19.94,23.36,32.18,24.26,29.84,8.24,28.22,6.98,-11.92,14.36,28.58,19.4,25.7,20.3,21.74,19.4,9.14,20.84,21.74,12.74,15.98,28.58,13.46,21.2,7.376,13.388,21.902,29.084,-11.92,19.4,32.18
12-15,12.38,0.14,9.68,5.54,20.48,9.32,22.46,10.4,23.72,24.26,14.36,13.82,10.58,27.86,12.2,23.54,7.88,24.98,8.96,7.7,17.78,12.56,18.32,19.04,22.64,16.7,10.4,27.32,22.1,26.42,11.48,14.0,13.64,8.78,21.92,8.15,10.562,20.642,24.764,0.14,13.91,27.86
12-16,3.74,8.24,13.28,-2.56,11.84,14.9,18.5,1.76,22.64,27.5,23.18,8.96,11.66,25.7,14.72,17.6,5.54,3.2,17.6,7.7,24.44,3.2,18.32,14.36,24.44,20.12,8.96,2.48,18.86,28.58,7.7,19.4,12.92,7.34,27.5,3.2,8.186,18.536,24.44,-2.56,13.82,28.58
